model,price,fuel,counter,release,type
DS 7 CROSSBACK,40 499 €,Hybride rechargeable,26 072 Km,2021,Automatique
DS 4,32 826 €,Essence,16 500 Km,2022,Automatique
DS 3 CROSSBACK,34 817 €,Electrique,6 500 Km,2021,Automatique
DS 3 CROSSBACK,28 990 €,Diesel,100 Km,2022,Manuelle
DS 3 CROSSBACK,28 998 €,Diesel,39 529 Km,2021,Automatique
DS 7 CROSSBACK,44 790 €,Hybride rechargeable,19 125 Km,2021,Automatique
DS 3 CROSSBACK,26 480 €,Essence,31 500 Km,2021,Automatique
DS 3 CROSSBACK,25 999 €,Essence,11 293 Km,2019,Automatique
DS 7 CROSSBACK,52 990 €,Hybride rechargeable,100 Km,2021,Automatique
DS 4,39 900 €,Hybride,28 119 Km,2021,Automatique
DS 3,17 980 €,Essence,42 520 Km,2018,Manuelle
DS 7 CROSSBACK,41 999 €,Diesel,18 578 Km,2021,Automatique
DS 7 CROSSBACK,32 699 €,Diesel,90 132 Km,2019,Automatique
DS 3 CROSSBACK,29 999 €,Electrique,7 850 Km,2020,Automatique
DS 3 CROSSBACK,30 399 €,Essence,4 949 Km,2022,Automatique
DS 3 CROSSBACK,30 499 €,Diesel,646 Km,2021,Automatique
DS 7 CROSSBACK,21 990 €,Diesel,131 640 Km,2018,Manuelle
DS 3,14 990 €,Essence,85 398 Km,2016,Automatique
DS 3 CROSSBACK,23 980 €,Diesel,22 494 Km,2020,Manuelle
DS 3 CROSSBACK,22 990 €,Essence,24 900 Km,2019,Manuelle
DS 7 CROSSBACK,49 490 €,Hybride rechargeable,41 137 Km,2021,Automatique
DS 3 CROSSBACK,21 980 €,Essence,50 050 Km,2021,Manuelle
DS 7 CROSSBACK,34 472 €,Diesel,42 348 Km,2021,Automatique
DS 7 CROSSBACK,36 499 €,Diesel,3 477 Km,2021,Automatique
DS 7 CROSSBACK,45 482 €,Hybride rechargeable,30 906 Km,2021,Automatique
DS 3 CROSSBACK,29 499 €,Diesel,30 799 Km,2021,Automatique
DS 7 CROSSBACK,45 990 €,Hybride rechargeable,20 162 Km,2021,Automatique
DS 3 CROSSBACK,26 980 €,Essence,20 729 Km,2021,Automatique
DS 3 CROSSBACK,26 852 €,Essence,48 400 Km,2019,Automatique
DS 7 CROSSBACK,42 200 €,Diesel,9 000 Km,2021,Automatique
DS 3 CROSSBACK,30 999 €,Diesel,10 Km,2022,Automatique
DS 3,13 999 €,Diesel,68 634 Km,2017,Manuelle
DS 7 CROSSBACK,28 980 €,Essence,80 868 Km,2017,Automatique
DS 3 CROSSBACK,28 980 €,Electrique,20 514 Km,2020,Automatique
DS 7 CROSSBACK,42 980 €,Diesel,11 300 Km,2022,Automatique
DS 3 CROSSBACK,26 990 €,Essence,40 376 Km,2020,Automatique
DS 7 CROSSBACK,54 980 €,Hybride rechargeable,13 459 Km,2021,Automatique
DS 3 CROSSBACK,23 880 €,Diesel,94 978 Km,2020,Automatique
DS 3 CROSSBACK,31 990 €,Electrique,8 489 Km,2021,Automatique
DS 7 CROSSBACK,28 990 €,Diesel,110 158 Km,2018,Automatique
DS 3,19 452 €,Essence,38 000 Km,2019,Automatique
