model,price,fuel,counter,release,type
DS 3 CROSSBACK,26 999 €,Essence,31 731 Km,2020,Automatique
DS 7 CROSSBACK,52 990 €,Hybride rechargeable,1 200 Km,2021,Automatique
DS 7 CROSSBACK,43 799 €,Hybride rechargeable,25 836 Km,2020,Automatique
DS 3 CROSSBACK,32 999 €,Electrique,25 955 Km,2022,Automatique
DS 3 CROSSBACK,41 999 €,Electrique,1 682 Km,2022,Automatique
DS 7 CROSSBACK,34 980 €,Diesel,31 896 Km,2021,Automatique
DS 3 CROSSBACK,32 499 €,Electrique,9 999 Km,2021,Automatique
DS 4,44 493 €,Essence,5 900 Km,2022,Automatique
DS 7,59 999 €,Hybride rechargeable,2 500 Km,2022,Automatique
DS 3 CROSSBACK,28 869 €,Essence,32 200 Km,2021,Automatique
DS 3 CROSSBACK,27 990 €,Electrique,12 000 Km,2021,Automatique
DS 7 CROSSBACK,35 299 €,Diesel,43 422 Km,2021,Automatique
DS 9,47 990 €,Hybride,30 745 Km,2021,Automatique
DS 7 CROSSBACK,43 889 €,Hybride rechargeable,42 263 Km,2021,Automatique
DS 3 CROSSBACK,30 893 €,Diesel,16 300 Km,2021,Automatique
DS 3 CROSSBACK,29 999 €,Diesel,19 712 Km,2021,Automatique
DS 3 CROSSBACK,28 999 €,Diesel,10 Km,2022,Automatique
DS 3 CROSSBACK,22 980 €,Essence,50 170 Km,2021,Manuelle
DS 7 CROSSBACK,30 999 €,Diesel,74 957 Km,2018,Automatique
DS 7 CROSSBACK,51 990 €,Hybride,5 900 Km,2021,Automatique
DS 3 CROSSBACK,25 980 €,Essence,28 400 Km,2019,Automatique
DS 3 CROSSBACK,29 999 €,Diesel,22 072 Km,2021,Automatique
DS 3 CROSSBACK,24 999 €,Diesel,42 783 Km,2019,Automatique
DS 3 CROSSBACK,23 899 €,Diesel,59 893 Km,2020,Automatique
DS 7 CROSSBACK,47 990 €,Essence,13 000 Km,2021,Automatique
DS 3 CROSSBACK,26 999 €,Diesel,52 002 Km,2020,Automatique
DS 4,46 999 €,Hybride,5 890 Km,2021,Automatique
DS 3 CROSSBACK,27 990 €,Essence,15 Km,2021,Automatique
DS 3 CROSSBACK,25 999 €,Essence,19 019 Km,2020,Automatique
DS 7 CROSSBACK,38 990 €,Diesel,23 059 Km,2021,Automatique
DS 4,37 390 €,Essence,10 704 Km,2022,Automatique
DS 7 CROSSBACK,29 490 €,Diesel,83 764 Km,2018,Automatique
DS 7 CROSSBACK,35 467 €,Diesel,59 400 Km,2020,Automatique
DS 7 CROSSBACK,34 790 €,Diesel,21 236 Km,2021,Automatique
DS 4,38 998 €,Diesel,10 240 Km,2022,Automatique
DS 3 CROSSBACK,33 900 €,Diesel,9 500 Km,2021,Automatique
DS 7 CROSSBACK,45 599 €,Hybride rechargeable,24 193 Km,2022,Automatique
DS 3 CROSSBACK,20 799 €,Diesel,104 788 Km,2020,Automatique
DS 3,13 490 €,Diesel,100 222 Km,2016,Manuelle
DS 7 CROSSBACK,25 990 €,Diesel,102 318 Km,2018,Automatique
DS 7 CROSSBACK,37 980 €,Diesel,25 000 Km,2020,Automatique
DS 3 CROSSBACK,24 980 €,Essence,16 918 Km,2020,Manuelle
DS 7 CROSSBACK,47 999 €,Hybride rechargeable,12 871 Km,2020,Automatique
DS 3 CROSSBACK,26 399 €,Essence,23 336 Km,2022,Manuelle
DS 3 CROSSBACK,29 990 €,Electrique,20 100 Km,2020,Automatique
DS 3 CABRIO,14 669 €,Diesel,84 530 Km,2017,Manuelle
DS 7 CROSSBACK,51 999 €,Hybride rechargeable,10 100 Km,2022,Automatique
DS 3,16 990 €,Essence,57 624 Km,2018,Automatique
DS 3 CROSSBACK,30 299 €,Diesel,18 316 Km,2021,Automatique
DS 3 CROSSBACK,25 499 €,Essence,24 413 Km,2021,Manuelle
DS 7 CROSSBACK,43 999 €,Diesel,29 909 Km,2021,Automatique
DS 4,42 980 €,Essence,2 458 Km,2022,Automatique
DS 3 CROSSBACK,26 490 €,Diesel,43 057 Km,2021,Automatique
DS 7 CROSSBACK,33 999 €,Essence,64 527 Km,2019,Automatique
DS 3 CROSSBACK,27 999 €,Essence,30 408 Km,2021,Automatique
DS 7 CROSSBACK,32 990 €,Diesel,53 717 Km,2020,Automatique
DS 3 CROSSBACK,26 999 €,Essence,27 659 Km,2019,Automatique
DS 3 CROSSBACK,27 990 €,Essence,11 539 Km,2020,Automatique
DS 7 CROSSBACK,34 852 €,Diesel,51 500 Km,2019,Automatique
DS 7 CROSSBACK,45 999 €,Hybride rechargeable,27 104 Km,2020,Automatique
DS 3 CROSSBACK,28 433 €,Electrique,45 200 Km,2020,Automatique
DS 7 CROSSBACK,28 999 €,Essence,101 887 Km,2018,Automatique
DS 3 CROSSBACK,25 990 €,Essence,36 456 Km,2019,Automatique
DS 7 CROSSBACK,55 990 €,Hybride rechargeable,13 000 Km,2022,Automatique
DS 4,46 891 €,Essence,4 900 Km,2022,Automatique
DS 7 CROSSBACK,25 990 €,Diesel,76 802 Km,2018,Manuelle
DS 4,12 480 €,Essence,126 409 Km,2017,Manuelle
DS 4,13 799 €,Diesel,138 000 Km,2017,Automatique
DS 5,15 990 €,Diesel,113 370 Km,2016,Automatique
DS 5,16 499 €,Diesel,99 377 Km,2018,Manuelle
DS 3 CROSSBACK,30 999 €,Electrique,9 022 Km,2020,Automatique
DS 3,17 499 €,Essence,23 820 Km,2017,Manuelle
DS 7 CROSSBACK,59 999 €,Hybride rechargeable,1 817 Km,2022,Automatique
DS 3 CROSSBACK,26 399 €,Diesel,12 597 Km,2021,Manuelle
DS 7 CROSSBACK,41 990 €,Hybride rechargeable,30 000 Km,2020,Automatique
DS 7 CROSSBACK,30 799 €,Diesel,81 405 Km,2020,Automatique
DS 7 CROSSBACK,31 399 €,Diesel,52 802 Km,2019,Automatique
DS 3,14 693 €,Essence,62 100 Km,2018,Manuelle
DS 3 CROSSBACK,29 499 €,Electrique,34 817 Km,2020,Automatique
DS 7 CROSSBACK,35 799 €,Essence,22 814 Km,2020,Automatique
DS 3 CROSSBACK,25 999 €,Essence,15 389 Km,2021,Manuelle
DS 3 CROSSBACK,32 499 €,Diesel,6 457 Km,2022,Automatique
DS 3 CROSSBACK,21 999 €,Diesel,17 047 Km,2019,Manuelle
DS 7 CROSSBACK,51 990 €,Hybride rechargeable,9 400 Km,2021,Automatique
