brand,model,characteristics,price,alink
DS,Ds 3,Essence/64 461 km/2017/Manuelle,14 490 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-puretech-130ch-givenchy-le-makeup-s-s-44700-orvault-703612
DS,Ds 7 crossback,Diesel/36 366 km/2019/Automatique,34 980 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-performance-line-automatique-26000-valence-435583
DS,Ds 3 crossback,Essence/15 186 km/2022/Automatique,32 390 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-performance-line-automatique-7cv-16430-champniers-046855
DS,Ds 3 crossback,Diesel/40 622 km/2019/Automatique,24 490 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-so-chic-automatique-57180-terville-221402
DS,Ds 7 crossback,Diesel/94 226 km/2019/Automatique,28 980 €,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-executive-automatique-38170-seyssinet-pariset-320142
DS,Ds 4,Essence/29 241 km/2021/Automatique,40 299 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-4-puretech-225ch-performance-line-automatique-79000-niort-3209014
DS,Ds 4,Diesel/95 343 km/2018/Manuelle,14 690 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-4-bluehdi-120ch-business-s-s-63000-clermont-ferrand-131830
DS,Ds 3 crossback,Essence/39 395 km/2021/Manuelle,23 980 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-100ch-performance-line-38320-eybens-320135
DS,Ds 7 crossback,Diesel/35 153 km/2021/Automatique,34 990 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-grand-chic-automatique-7cv-38170-seyssinet-pariset-320094
DS,Ds 3 crossback,Diesel/74 200 km/2019/Automatique,22 840 €,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-performance-line-automatique-98g-51100-reims-256394
DS,Ds 7 crossback,Diesel/60 600 km/2018/Automatique,32 999 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-la-premiere-eat8-86000-poitiers-120151
DS,Ds 7 crossback,Diesel/89 442 km/2019/Automatique,31 499 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-performance-line-automatique-86000-poitiers-21087
DS,Ds 7 crossback,Hybride R/65 972 km/2020/Automatique,41 999 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-7-crossback-e-tense-4x4-grand-chic-86000-poitiers-210251
DS,Ds 7 crossback,Diesel/65 544 km/2019/Automatique,33 799 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-grand-chic-automatique-79000-niort-3211002
DS,Ds 7 crossback,Hybride R/4 700 km/2021/Automatique,57 842 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-4x4-300ch-grand-chic-51100-reims-255432
DS,Ds 3 crossback,Diesel/39 800 km/2020/Automatique,24 452 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-so-chic-automatique-98g-51100-reims-256820
DS,Ds 3,Diesel/83 982 km/2016/Manuelle,11 679 €,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-3-bluehdi-100ch-so-chic-s-s-71200-le-creusot-607147
DS,Ds 3 crossback,Essence/20 797 km/2019/Manuelle,23 980 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-100ch-performance-line-38170-seyssinet-pariset-320113
DS,Ds 3 crossback,Essence/19 884 km/2020/Automatique,27 999 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-connected-chic-automatique-86000-poitiers-3211001
DS,Ds 7 crossback,Hybride R/32 919 km/2021/Automatique,45 999 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-4x4-300ch-grand-chic-63000-clermont-ferrand-131091
DS,Ds 7 crossback,Diesel/20 250 km/2021/Automatique,42 493 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-grand-chic-automatique-51530-dizy-304081
DS,Ds 7 crossback,Diesel/56 600 km/2019/Automatique,27 980 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-business-automatique-100g-71100-chalon-sur-saone-607297
DS,Ds 3 crossback,Essence/9 999 km/2021/Automatique,31 999 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-grand-chic-automatique-7cv-86000-poitiers-21059
DS,Ds 7 crossback,Hybride R/13 972 km/2021/Automatique,52 990 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-4x4-300ch-rivoli-73209-albertville-035785
DS,Ds 7 crossback,Hybride/17 900 km/2021/Automatique,49 990 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-4x4-300ch-grand-chic-51100-reims-254557
DS,Ds 3 crossback,Essence/72 627 km/2019/Automatique,20 990 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-crossback-puretech-155ch-performance-line-automatique-119g-62800-lievin-a24909
DS,Ds 3 crossback,Essence/53 099 km/2020/Manuelle,22 980 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-100ch-performance-line-bvm-71000-sance-319760
DS,Ds 3 crossback,Electrique/5 000 km/2021/Automatique,42 900 €,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-3-crossback-e-tense-grand-chic-4cv-08000-charleville-mezieres-290178
DS,Ds 7 crossback,Diesel/500 km/2022/Automatique,44 872 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-rivoli-automatique-51100-reims-255801
DS,Ds 3 crossback,Essence/10 km/2022/Automatique,30 499 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-crossback-puretech-130ch-bastille-automatique-86000-poitiers-3207307
DS,Ds 3,Diesel/85 978 km/2017/Manuelle,13 299 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-bluehdi-100ch-so-chic-s-s-44400-reze-105965
DS,Ds 7 crossback,Diesel/15 210 km/2021/Automatique,40 490 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-rivoli-automatique-71000-sance-319413
DS,Ds 3 crossback,Essence/34 200 km/2020/Automatique,27 980 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-performance-line-automatique-7cv-73000-chambery-400034
DS,Ds 3 crossback,Diesel/10 km/2022/Automatique,33 690 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-performance-line-automatique-126g-86000-poitiers-st38322418
DS,Ds 4 crossback,Essence/92 065 km/2016/Manuelle,14 980 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-4-crossback-puretech-130-sport-chic-s-s-77100-nanteuil-les-meaux-m034766
DS,Ds 3 crossback,Diesel/39 526 km/2021/Automatique,28 680 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-performance-line-automatique-71000-sance-319901
DS,Ds 7 crossback,Hybride R/10 789 km/2021/Automatique,47 999 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-225ch-grand-chic-86000-poitiers-21050
DS,Ds 3 crossback,Essence/26 670 km/2021/Automatique,29 480 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-performance-line-automatique-7cv-38170-seyssinet-pariset-320132
DS,Ds 3 crossback,Electrique/7 590 km/2021/Automatique,27 990 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-e-tense-performance-line-4cv-38170-seyssinet-pariset-310098
DS,Ds 7 crossback,Hybride R/8 000 km/2022/Automatique,53 990 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-225ch-performance-line-86000-poitiers-st37976721
DS,Ds 7 crossback,Hybride R/13 967 km/2021/Automatique,52 999 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-4x4-300ch-grand-chic-86000-poitiers-21016
DS,Ds 9,Hybride/19 006 km/2021/Automatique,54 999 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-9-hybrid-e-tense-4x4-360ch-rivoli-79000-niort-3209024
DS,Ds 7 crossback,Hybride R/9 725 km/2021/Automatique,45 999 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-225ch-rivoli-79000-niort-3207003
DS,Ds 3 crossback,Essence/28 459 km/2020/Automatique,27 300 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-crossback-puretech-130ch-grand-chic-automatique-7cv-63170-aubiere-63210
DS,Ds 7 crossback,Hybride R/18 250 km/2021/Automatique,51 593 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-4x4-300ch-grand-chic-51530-dizy-304082
DS,Ds 3 crossback,Electrique/23 333 km/2020/Automatique,26 990 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-e-tense-so-chic-4cv-84000-avignon-56390
DS,Ds 3 crossback,Diesel/17 296 km/2020/Automatique,28 990 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-performance-line-automatique-126g-84000-avignon-56475
DS,Ds 7 crossback,Hybride R/10 070 km/2022/Automatique,50 999 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-4x4-300ch-rivoli-44000-nantes-72581
DS,Ds 7 crossback,Diesel/34 324 km/2019/Automatique,37 290 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-performance-line-automatique-128g-41260-la-chaussee-saint-victor-66850
DS,Ds 7 crossback,Diesel/39 505 km/2020/Automatique,33 299 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-performance-line-automatique-16430-champniers-810383
DS,Ds 4,Diesel/80 001 km/2017/Manuelle,14 649 €,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-4-bluehdi-120ch-be-chic-s-s-38000-grenoble-110114
DS,Ds 7 crossback,Diesel/21 950 km/2021/Automatique,40 990 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-executive-automatique-64300-orthez-2212819
DS,Ds 7 crossback,Diesel/60 835 km/2019/Manuelle,24 590 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-chic-94000-creteil-229941
DS,Ds 3 crossback,Diesel/56 236 km/2019/Manuelle,22 980 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-bluehdi-100ch-grand-chic-97g-38320-eybens-320134
DS,Ds 9,Hybride/4 600 km/2021/Automatique,47 825 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-9-hybrid-e-tense-225ch-rivoli-51100-reims-255261
DS,Ds 3 crossback,Essence/15 543 km/2020/Automatique,29 979 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-155ch-rivoli-automatique-74600-seynod-155017
DS,Ds 3 crossback,Electrique/28 000 km/2020/Automatique,26 874 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-e-tense-performance-line-51100-reims-256799
DS,Ds 7 crossback,Hybride R/12 880 km/2021/Automatique,52 990 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-4x4-300ch-rivoli-63000-clermont-ferrand-131852
DS,Ds 7 crossback,Diesel/13 700 km/2022/Automatique,41 480 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-grand-chic-automatique-139g-71100-chalon-sur-saone-607173
DS,Ds 9,Hybride/10 017 km/2022/Automatique,56 999 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-9-hybrid-e-tense-250ch-performance-line-86000-poitiers-21017
DS,Ds 3 crossback,Essence/13 659 km/2021/Manuelle,24 980 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-100ch-performance-line-38320-eybens-320131
DS,Ds 7 crossback,Essence/54 237 km/2019/Automatique,33 998 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-puretech-225ch-grand-chic-automatique-25000-besancon-190398
DS,Ds 7 crossback,Hybride R/33 389 km/2020/Automatique,43 290 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-225ch-performance-line-59640-dunkerque-320989
DS,Ds 3 crossback,Diesel/3 432 km/2022/Automatique,43 990 €,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-grand-chic-automatique-126g-08000-charleville-mezieres-230260
DS,Ds 7 crossback,Diesel/41 888 km/2020/Automatique,33 999 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-grand-chic-automatique-79000-niort-43946
DS,Ds 7 crossback,Diesel/42 346 km/2021/Automatique,35 999 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-performance-line-automatique-86000-poitiers-21023
DS,Ds 3 crossback,Essence/12 696 km/2021/Automatique,29 900 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-performance-line-automatique-7cv-13700-marignane-227719
DS,Ds 3 crossback,Diesel/15 km/2022/Automatique,31 499 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-bastille-automatique-62800-lievin-a25025
DS,Ds 3 crossback,Essence/33 008 km/2019/Automatique,23 980 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-crossback-puretech-130ch-performance-line-automatique-77100-nanteuil-les-meaux-m034414
DS,Ds 3 crossback,Diesel/14 756 km/2020/Automatique,29 900 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-grand-chic-automatique-84000-avignon-56828
DS,Ds 3,Essence/35 852 km/2016/Manuelle,15 500 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-puretech-130ch-givenchy-le-makeup-s-s-51100-reims-12494
DS,Ds 4,Hybride/2 500 km/2023/Automatique,39 990 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-4-e-tense-225ch-performance-line-16430-champniers-1050780
DS,Ds 3 crossback,Essence/6 131 km/2021/Automatique,34 499 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-155ch-rivoli-automatique-33700-merignac-2302039
DS,Ds 3,Essence/19 882 km/2017/Manuelle,20 480 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-thp-208ch-performance-black-special-s-s-77100-nanteuil-les-meaux-m034574
DS,Ds 7 crossback,Hybride R/4 500 km/2021/Automatique,49 990 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-4x4-300ch-rivoli-63200-riom-131055
DS,Ds 7 crossback,Diesel/4 681 km/2022/Automatique,39 499 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-rivoli-automatique-86000-poitiers-3207302
DS,Ds 7 crossback,Diesel/56 586 km/2018/Automatique,28 190 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-business-automatique-62217-beaurains-a73611
DS,Ds 3 crossback,Essence/100 km/2022/Automatique,34 699 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-155ch-rivoli-automatique-63000-clermont-ferrand-131467
DS,Ds 7 crossback,Diesel/53 145 km/2019/Automatique,35 999 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-grand-chic-automatique-128g-86000-poitiers-21093
DS,Ds 3 crossback,Diesel/29 026 km/2020/Automatique,27 999 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-performance-line-automatique-13300-salon-de-provence-34596
DS,Ds 7 crossback,Diesel/88 656 km/2019/Automatique,28 490 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-performance-line-automatique-100g-02000-laon-3624
DS,Ds 7 crossback,Diesel/34 800 km/2019/Automatique,36 824 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-performance-line-automatique-51100-reims-256778
DS,Ds 7 crossback,Diesel/61 224 km/2019/Automatique,29 699 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-business-automatique-128g-16430-champniers-3211005
DS,Ds 3 crossback,Essence/13 138 km/2020/Automatique,27 779 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-performance-line-automatique-7cv-13100-aix-en-provence-91735
DS,Ds 3 crossback,Electrique/10 117 km/2020/Automatique,29 990 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-e-tense-la-premiere-4cv-38170-seyssinet-pariset-320088
DS,Ds 3,Essence/107 611 km/2015/Manuelle,11 900 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-puretech-110ch-so-chic-s-s-84000-avignon-56787
DS,Ds 3 crossback,Diesel/94 461 km/2020/Automatique,21 922 €,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-connected-chic-automatique-126g-08000-charleville-mezieres-221197
DS,Ds 7 crossback,Diesel/73 061 km/2019/Automatique,31 999 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-performance-line-automatique-86000-poitiers-21021
DS,Ds 4 crossback,Diesel/112 795 km/2016/Automatique,13 491 €,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-4-crossback-bluehdi-120-sport-chic-s-s-eat6-51530-dizy-304255
DS,Ds 7 crossback,Hybride R/11 928 km/2021/Automatique,44 799 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-hybride-e-tense-225ch-eat-8-business-86500-montmorillon-3209714
DS,Ds 4,Diesel/118 176 km/2017/Manuelle,12 890 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-4-bluehdi-120ch-so-chic-s-s-57180-terville-221546
DS,Ds 7 crossback,Hybride R/30 298 km/2020/Automatique,45 999 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-4x4-300ch-grand-chic-33700-merignac-2210128
DS,Ds 7 crossback,Diesel/80 050 km/2019/Automatique,29 990 €,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-grand-chic-automatique-128g-38170-seyssinet-pariset-320093
DS,Ds 3 crossback,Essence/99 157 km/2019/Manuelle,17 979 €,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-3-crossback-puretech-100ch-business-01000-bourg-en-bresse-123094
DS,Ds 7 crossback,Diesel/7 700 km/2022/Automatique,43 980 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-rivoli-automatique-51100-reims-255803
DS,Ds 3 crossback,Essence/38 255 km/2021/Automatique,26 480 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-performance-line-automatique-7cv-73000-chambery-400045
DS,Ds 3 crossback,Electrique/15 988 km/2021/Automatique,35 980 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-e-tense-grand-chic-4cv-71100-chalon-sur-saone-607367
DS,Ds 7 crossback,Diesel/44 400 km/2019/Automatique,35 428 €,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-performance-line-automatique-128g-51100-reims-256759
DS,Ds 3 crossback,Electrique/5 400 km/2022/Automatique,36 980 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-e-tense-performance-line-51100-reims-255804
DS,Ds 3 crossback,Diesel/14 600 km/2021/Automatique,30 299 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-performance-line-automatique-126g-86000-poitiers-69224
DS,Ds 4,Essence/49 540 km/2017/Manuelle,14 980 €,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-4-puretech-130ch-be-chic-s-s-71000-sance-319728
DS,Ds 3 crossback,Diesel/28 200 km/2021/Automatique,30 817 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-grand-chic-automatique-126g-51100-reims-256735
DS,Ds 3 crossback,Essence/35 120 km/2019/Automatique,26 990 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-155ch-grand-chic-automatique-126g-73209-albertville-036265
DS,Ds 7 crossback,Diesel/9 097 km/2022/Automatique,39 990 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-grand-chic-automatique-139g-08000-charleville-mezieres-220728
DS,Ds 7 crossback,Essence/53 000 km/2019/Manuelle,26 873 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-puretech-130ch-so-chic-120g-51100-reims-256744
DS,Ds 7 crossback,Hybride R/7 523 km/2022/Automatique,53 990 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-225ch-performance-line-59850-nieppe-221511
DS,Ds 7 crossback,Diesel/9 000 km/2022/Automatique,45 480 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-rivoli-automatique-51100-reims-256361
DS,Ds 4,Hybride/27 900 km/2021/Automatique,42 422 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-4-e-tense-225ch-trocadero-08000-charleville-mezieres-221104
DS,Ds 3 crossback,Essence/15 950 km/2021/Automatique,30 299 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-155ch-grand-chic-automatique-03100-montlucon-131096
DS,Ds 7 crossback,Hybride R/45 900 km/2021/Automatique,46 782 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-225ch-grand-chic-51100-reims-256756
DS,Ds 5,Diesel/80 435 km/2017/Automatique,19 499 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-5-bluehdi-180ch-so-chic-s-s-eat6-44400-reze-105910
DS,Ds 7 crossback,Hybride R/5 000 km/2021/Automatique,53 990 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-4x4-300ch-grand-chic-51100-reims-255189
DS,Ds 7 crossback,Diesel/84 790 km/2020/Automatique,33 999 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-performance-line-automatique-79000-niort-3164
DS,Ds 7 crossback,Diesel/32 823 km/2020/Automatique,37 999 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-performance-line-automatique-86000-poitiers-120120
DS,Ds 7 crossback,Diesel/48 073 km/2019/Automatique,34 480 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-grand-chic-automatique-08000-charleville-mezieres-230189
DS,Ds 7 crossback,Diesel/73 522 km/2020/Automatique,34 999 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-grand-chic-automatique-79000-niort-3165
DS,Ds 7 crossback,Diesel/58 956 km/2021/Automatique,37 480 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-performance-line-automatique-71000-sance-319613
DS,Ds 3 crossback,Diesel/48 477 km/2019/Automatique,25 490 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-performance-line-automatique-98g-10000-troyes-21390
DS,Ds 3 crossback,Essence/30 467 km/2020/Manuelle,23 999 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-100ch-performance-line-16430-champniers-125104
DS,Ds 7 crossback,Diesel/72 400 km/2019/Automatique,33 426 €,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-grand-chic-automatique-51100-reims-256221
DS,Ds 3 crossback,Diesel/51 026 km/2020/Manuelle,22 990 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-bluehdi-100ch-performance-line-59850-nieppe-221485
DS,Ds 3 crossback,Essence/31 339 km/2021/Manuelle,24 199 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-100ch-so-chic-26100-romans-sur-isere-41122
DS,Ds 7 crossback,Diesel/96 867 km/2018/Automatique,28 490 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-grand-chic-automatique-128g-63000-clermont-ferrand-131856
DS,Ds 3 crossback,Essence/12 128 km/2019/Manuelle,23 990 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-100ch-performance-line-62800-lievin-220533
DS,Ds 7 crossback,Hybride R/7 619 km/2021/Automatique,49 990 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-225ch-grand-chic-08000-charleville-mezieres-220369
DS,Ds 3 cabrio,Essence/16 800 km/2018/Manuelle,19 379 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-cabrio-puretech-130ch-sport-chic-s-s-73000-chambery-325625
DS,Ds 3 crossback,Diesel/57 099 km/2020/Automatique,24 999 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-so-chic-automatique-98g-79000-niort-3163
DS,Ds 7 crossback,Diesel/138 068 km/2019/Automatique,25 490 €,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-grand-chic-automatique-02200-soissons-s7976
DS,Ds 7 crossback,Diesel/8 490 km/2022/Automatique,43 999 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-rivoli-automatique-86000-poitiers-21018
DS,Ds 3 crossback,Essence/28 500 km/2020/Automatique,26 290 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-crossback-puretech-130ch-performance-line-automatique-7cv-86400-civray-2210573
DS,Ds 7 crossback,Hybride R/3 868 km/2022/Automatique,56 999 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-225ch-rivoli-03110-charmeil-41947
DS,Ds 3 crossback,Diesel/62 487 km/2019/Automatique,24 480 €,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-performance-line-automatique-98g-71000-sance-319650
DS,Ds 3 crossback,Diesel/41 882 km/2020/Automatique,26 499 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-grand-chic-automatique-126g-86000-poitiers-3210017
