brand,model,characteristics,price,alink
DS,Ds 4,Essence/17 345 km/2022/Automatique,43 999 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-4-puretech-180ch-rivoli-automatique-44000-nantes-72580
DS,Ds 3 crossback,Diesel/59 348 km/2019/Automatique,24 622 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-grand-chic-automatique-98g-08000-charleville-mezieres-221261
DS,Ds 7 crossback,Diesel/126 577 km/2018/Manuelle,21 799 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-performance-line-64121-serres-castet-6940
DS,Ds 9,Hybride/5 425 km/2022/Automatique,49 990 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-9-hybrid-e-tense-225ch-rivoli-79000-niort-st38028201
DS,Ds 3 crossback,Essence/16 921 km/2021/Automatique,29 980 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-performance-line-automatique-7cv-38170-seyssinet-pariset-320133
DS,Ds 7 crossback,Diesel/97 400 km/2018/Manuelle,24 862 €,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-performance-line-51100-reims-256220
DS,Ds 9,Hybride/4 800 km/2021/Automatique,52 980 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-9-hybrid-e-tense-225ch-rivoli-73000-chambery-400014
DS,Ds 4,Essence/1 185 km/2021/Automatique,44 999 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-4-puretech-225ch-rivoli-automatique-03110-charmeil-41953
DS,Ds 7 crossback,Diesel/24 169 km/2021/Automatique,35 980 €,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-performance-line-automatique-01000-bourg-en-bresse-155031
DS,Ds 7 crossback,Hybride R/69 788 km/2020/Automatique,36 990 €,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-7-crossback-e-tense-4x4-300ch-performance-line-38170-seyssinet-pariset-320060
DS,Ds 4,Diesel/62 447 km/2017/Automatique,18 980 €,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-4-bluehdi-180ch-sport-chic-s-s-eat6-74600-seynod-155216
DS,Ds 5,Diesel/64 602 km/2016/Manuelle,17 990 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-5-bluehdi-150ch-so-chic-s-s-63200-riom-50830
DS,Ds 3 crossback,Diesel/10 942 km/2021/Automatique,29 299 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-connected-chic-automatique-126g-16430-champniers-3208010
DS,Ds 7 crossback,Hybride R/16 500 km/2022/Automatique,57 980 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-4x4-300ch-rivoli-73000-chambery-400024
DS,Ds 3,Essence/43 080 km/2016/Manuelle,15 980 €,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-3-thp-165ch-sport-chic-s-s-74600-seynod-155234
DS,Ds 3 crossback,Diesel/27 445 km/2021/Automatique,27 999 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-performance-line-automatique-86000-poitiers-3207053
DS,Ds 3 crossback,Diesel/55 522 km/2020/Automatique,26 900 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-grand-chic-automatique-98g-13700-marignane-227626
DS,Ds 7 crossback,Diesel/44 158 km/2019/Automatique,34 900 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-performance-line-automatique-38312-bourgoin-jallieu-214215
DS,Ds 3,Essence/81 542 km/2017/Manuelle,13 890 €,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-3-puretech-110ch-connected-chic-s-s-73000-chambery-325977
DS,Ds 7 crossback,Diesel/49 949 km/2020/Automatique,37 999 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-grand-chic-automatique-86000-poitiers-3212281
DS,Ds 4,Hybride/31 585 km/2021/Automatique,43 500 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-4-e-tense-225ch-rivoli-08000-charleville-mezieres-220878
DS,Ds 3 crossback,Diesel/53 771 km/2019/Automatique,25 299 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-so-chic-automatique-98g-79000-niort-3212047
DS,Ds 7 crossback,Diesel/43 500 km/2019/Automatique,32 426 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-performance-line-automatique-100g-51100-reims-256293
DS,Ds 3 crossback,Diesel/10 km/2022/Automatique,31 980 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-bastille-automatique-73000-chambery-325732
DS,Ds 7 crossback,Diesel/11 500 km/2022/Automatique,43 480 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-rivoli-automatique-51100-reims-256057
DS,Ds 7 crossback,Diesel/93 633 km/2019/Automatique,26 980 €,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-performance-line-automatique-38170-seyssinet-pariset-320116
DS,Ds 7 crossback,Hybride R/24 518 km/2022/Automatique,45 499 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-225ch-business-16430-champniers-3212003
DS,Ds 3,Essence/31 000 km/2019/Automatique,17 480 €,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-3-puretech-110ch-connected-chic-automatique-38170-seyssinet-pariset-320137
DS,Ds 3 crossback,Essence/17 106 km/2019/Manuelle,24 999 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-100ch-performance-line-105g-79000-niort-3212012
DS,Ds 3 crossback,Electrique/3 377 km/2021/Automatique,32 799 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-e-tense-grand-chic-4cv-03100-montlucon-131080
DS,Ds,Diesel/49 144 km/2018/Automatique,33 980 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-180-automatique-grand-chic-38170-seyssinet-pariset-320129
DS,Ds 3 crossback,Electrique/5 000 km/2022/Automatique,39 990 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-e-tense-rivoli-16430-champniers-010262
DS,Ds 7 crossback,Diesel/7 800 km/2022/Automatique,44 980 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-rivoli-automatique-51100-reims-256440
DS,Ds 7 crossback,Diesel/70 378 km/2019/Automatique,28 932 €,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-executive-automatique-08000-charleville-mezieres-230033
DS,Ds 7 crossback,Diesel/98 327 km/2018/Manuelle,24 490 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-drive-efficiency-performance-line-33700-merignac-221224
DS,Ds 3 crossback,Diesel/78 200 km/2020/Automatique,24 872 €,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-grand-chic-automatique-98g-51100-reims-256837
DS,Ds 3 crossback,Diesel/53 498 km/2021/Automatique,28 999 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-connected-chic-automatique-126g-79000-niort-3212022
DS,Ds 3 crossback,Essence/38 416 km/2020/Manuelle,23 999 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-crossback-puretech-100ch-performance-line-bioethanol-34200-sete-51577
DS,Ds 7 crossback,Diesel/30 142 km/2020/Automatique,32 990 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-so-chic-automatique-57180-terville-230172
DS,Ds 7 crossback,Diesel/18 200 km/2021/Automatique,46 000 €,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-grand-chic-automatique-08000-charleville-mezieres-290121
DS,Ds 3 crossback,Essence/7 000 km/2021/Automatique,27 899 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-so-chic-automatique-7cv-86000-poitiers-3207304
DS,Ds 3 crossback,Essence/55 988 km/2019/Automatique,24 990 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-grand-chic-automatique-109g-51000-chalons-en-champagne-19764
DS,Ds 9,Hybride/20 947 km/2021/Automatique,52 999 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-9-hybrid-e-tense-225ch-rivoli-79000-niort-3212026
DS,Ds 3 crossback,Diesel/69 826 km/2021/Manuelle,23 799 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-crossback-bluehdi-110ch-performance-line-16430-champniers-3212005
DS,Ds 3 crossback,Essence/40 189 km/2021/Manuelle,24 280 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-100ch-so-chic-bvm-71000-sance-319902
DS,Ds 3 crossback,Essence/10 km/2022/Automatique,31 999 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-bastille-automatique-86000-poitiers-69173
DS,Ds 7 crossback,Hybride R/18 900 km/2021/Automatique,50 990 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-4x4-300ch-grand-chic-71100-chalon-sur-saone-606575
DS,Ds 3 crossback,Diesel/722 km/2022/Automatique,35 990 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-so-chic-automatique-126g-80136-rivery-947047
DS,Ds 7 crossback,Hybride R/26 433 km/2022/Automatique,44 999 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-225ch-business-79000-niort-3212044
DS,Ds 3 crossback,Diesel/51 128 km/2020/Automatique,25 490 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-grand-chic-automatique-7cv-08000-charleville-mezieres-230216
DS,Ds 3 crossback,Essence/19 000 km/2021/Automatique,29 990 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-performance-line-automatique-7cv-73000-chambery-400064
DS,Ds 3 crossback,Diesel/71 500 km/2019/Manuelle,21 990 €,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-3-crossback-bluehdi-100ch-grand-chic-73000-chambery-400054
DS,Ds 7,Hybride R/8 000 km/2022/Automatique,66 990 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-e-tense-4x4-300ch-performance-line-16430-champniers-576934
DS,Ds 3 crossback,Essence/17 059 km/2020/Automatique,28 979 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-grand-chic-automatique-7cv-71103-chalon-sur-saone-607458
DS,Ds 3 crossback,Essence/28 400 km/2019/Automatique,25 839 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-grand-chic-automatique-109g-51100-reims-256784
DS,Ds 7 crossback,Hybride R/26 072 km/2021/Automatique,40 499 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-225ch-performance-line-79000-niort-3206035
DS,Ds 4,Essence/16 500 km/2022/Automatique,32 826 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-4-puretech-130ch-performance-line-automatique-51100-reims-256835
DS,Ds 3 crossback,Electrique/6 500 km/2021/Automatique,34 817 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-e-tense-grand-chic-4cv-51100-reims-256621
DS,Ds 3 crossback,Diesel/100 km/2022/Manuelle,28 990 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-bluehdi-110ch-performance-line-59190-hazebrouck-221122
DS,Ds 3 crossback,Diesel/39 529 km/2021/Automatique,28 998 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-connected-chic-automatique-126g-16430-champniers-31415
DS,Ds 7 crossback,Hybride R/19 125 km/2021/Automatique,44 790 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-225ch-performance-line-08000-charleville-mezieres-230210
DS,Ds 3 crossback,Essence/31 500 km/2021/Automatique,26 480 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-performance-line-automatique-7cv-73000-chambery-325816
DS,Ds 3 crossback,Essence/11 293 km/2019/Automatique,25 999 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-155ch-so-chic-automatique-123g-86000-poitiers-68900
DS,Ds 7 crossback,Hybride R/100 km/2021/Automatique,52 990 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-e-tense-4x4-300ch-grand-chic-51100-reims-255430
DS,Ds 4,Hybride/28 119 km/2021/Automatique,39 900 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-4-e-tense-225ch-cross-trocadero-71000-sance-319903
DS,Ds 3,Essence/42 520 km/2018/Manuelle,17 980 €,https://www.autosphere.fr/fiche4/auto-occasion-ds-ds-3-thp-165ch-sport-chic-s-s-01000-bourg-en-bresse-154761
DS,Ds 7 crossback,Diesel/18 578 km/2021/Automatique,41 999 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-grand-chic-automatique-16430-champniers-75189
DS,Ds 7 crossback,Diesel/90 132 km/2019/Automatique,32 699 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-7-crossback-bluehdi-180ch-grand-chic-automatique-16430-champniers-3212013
DS,Ds 3 crossback,Electrique/7 850 km/2020/Automatique,29 999 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-e-tense-performance-line-4cv-86000-poitiers-21069
DS,Ds 3 crossback,Essence/4 949 km/2022/Automatique,30 399 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-puretech-130ch-bastille-automatique-64400-oloron-sainte-marie-81402
DS,Ds 3 crossback,Diesel/646 km/2021/Automatique,30 499 €,https://www.autosphere.fr/fiche-mixte/auto-occasion-ds-ds-3-crossback-bluehdi-130ch-grand-chic-automatique-126g-16430-champniers-3208008
DS,Ds 7 crossback,Diesel/131 640 km/2018/Manuelle,21 990 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-7-crossback-bluehdi-130ch-business-84000-avignon-56764
DS,Ds 3,Essence/85 398 km/2016/Automatique,14 990 €,https://www.autosphere.fr/fiche/auto-occasion-ds-ds-3-puretech-110ch-sport-chic-s-s-eat6-57500-saint-avold-st38582836
